alfa,beta,po,time,distance
1.1,4.6,0.1,0.07041020393371582,284.0
1.1,5.1,0.1,0.047074174880981444,270.0
1.1,5.6,0.1,0.14600954055786133,277.8
1.1,6.1,0.1,0.06801552772521972,277.4
1.1,6.6,0.1,0.02892904281616211,287.0
1.1,7.1,0.1,0.06841187477111817,290.4
1.1,7.6,0.1,0.10093631744384765,285.8
1.1,8.1,0.1,0.24973139762878419,267.0
1.1,8.6,0.1,0.11509218215942382,277.0
1.1,9.1,0.1,0.09694008827209473,288.0
1.1,9.6,0.1,0.08098235130310058,266.0
1.6,0.1,0.1,0.06323037147521973,279.0
1.6,0.6,0.1,0.055856943130493164,279.0
1.6,1.1,0.1,0.052256011962890626,284.0
1.6,1.6,0.1,0.08836808204650878,282.6
1.6,2.1,0.1,0.04068470001220703,286.6
1.6,2.6,0.1,0.035505056381225586,282.4
1.6,3.1,0.1,0.04548544883728027,286.4
1.6,3.6,0.1,0.04608244895935058,258.8
1.6,4.1,0.1,0.07639813423156738,282.8
1.6,4.6,0.1,0.0580502986907959,289.2
1.6,5.1,0.1,0.0484588623046875,286.4
1.6,5.6,0.1,0.13284497261047362,247.8
1.6,6.1,0.1,0.05106840133666992,280.8
1.6,6.6,0.1,0.11968717575073243,287.0
1.6,7.1,0.1,0.027718830108642577,272.4
1.6,7.6,0.1,0.05585699081420899,280.6
1.6,8.1,0.1,0.21163196563720704,285.2
1.6,8.6,0.1,0.016156864166259766,275.4
1.6,9.1,0.1,0.09914121627807618,289.0
1.6,9.6,0.1,0.07140669822692872,252.4
2.1,0.1,0.1,0.03610348701477051,276.0
2.1,0.6,0.1,0.03531179428100586,289.8
2.1,1.1,0.1,0.027719402313232423,278.0
2.1,1.6,0.1,0.09953408241271973,271.8
2.1,2.1,0.1,0.07201113700866699,281.8
2.1,2.6,0.1,0.035903406143188474,284.0
2.1,3.1,0.1,0.0676194190979004,283.2
2.1,3.6,0.1,0.020552396774291992,265.4
2.1,4.1,0.1,0.042874717712402345,290.4
2.1,4.6,0.1,0.10950779914855957,292.2
2.1,5.1,0.1,0.16057066917419432,282.0
2.1,5.6,0.1,0.03411631584167481,280.6
2.1,6.1,0.1,0.01415548324584961,287.8
2.1,6.6,0.1,0.02653532028198242,284.2
2.1,7.1,0.1,0.04626274108886719,279.6
2.1,7.6,0.1,0.06682353019714356,274.4
2.1,8.1,0.1,0.04427967071533203,281.8
2.1,8.6,0.1,0.11070361137390136,255.0
2.1,9.1,0.1,0.07720012664794922,287.2
2.1,9.6,0.1,0.09773879051208496,279.8
2.6,0.1,0.1,0.0757908821105957,294.2
2.6,0.6,0.1,0.052659034729003906,276.2
2.6,1.1,0.1,0.03830289840698242,290.2
2.6,1.6,0.1,0.0382960319519043,291.0
2.6,2.1,0.1,0.06921472549438476,288.4
2.6,2.6,0.1,0.05046491622924805,282.2
2.6,3.1,0.1,0.0767967700958252,279.2
2.6,3.6,0.1,0.06741175651550294,282.4
2.6,4.1,0.1,0.06063799858093262,283.6
2.6,4.6,0.1,0.05704717636108399,292.2
2.6,5.1,0.1,0.08816461563110352,284.0
2.6,5.6,0.1,0.04029345512390137,290.0
2.6,6.1,0.1,0.10292139053344726,280.2
2.6,6.6,0.1,0.09314827919006348,288.4
2.6,7.1,0.1,0.03570432662963867,275.8
2.6,7.6,0.1,0.09773688316345215,282.4
2.6,8.1,0.1,0.07041449546813965,289.4
2.6,8.6,0.1,0.0963362693786621,288.0
2.6,9.1,0.1,0.09315662384033203,287.2
2.6,9.6,0.1,0.08377661705017089,281.0
3.1,0.1,0.1,0.037891721725463866,282.0
3.1,0.6,0.1,0.035505056381225586,280.8
3.1,1.1,0.1,0.02094402313232422,283.4
3.1,1.6,0.1,0.02593069076538086,284.0
3.1,2.1,0.1,0.03291950225830078,287.8
3.1,2.6,0.1,0.09154815673828125,290.0
3.1,3.1,0.1,0.052260303497314455,277.8
3.1,3.6,0.1,0.059447956085205075,273.0
3.1,4.1,0.1,0.07380137443542481,278.8
3.1,4.6,0.1,0.06223506927490234,288.2
3.1,5.1,0.1,0.06362395286560059,273.2
3.1,5.6,0.1,0.09853615760803222,287.8
3.1,6.1,0.1,0.03171515464782715,281.6
3.1,6.6,0.1,0.09594173431396484,277.8
3.1,7.1,0.1,0.06262950897216797,287.4
3.1,7.6,0.1,0.08956069946289062,293.6
3.1,8.1,0.1,0.04288539886474609,283.8
3.1,8.6,0.1,0.03789863586425781,285.2
3.1,9.1,0.1,0.06881613731384277,275.0
3.1,9.6,0.1,0.06742439270019532,275.6
3.6,0.1,0.1,0.05046534538269043,289.0
3.6,0.6,0.1,0.10672130584716796,283.8
3.6,1.1,0.1,0.08696403503417968,279.2
3.6,1.6,0.1,0.10392332077026367,289.6
3.6,2.1,0.1,0.04488658905029297,287.8
3.6,2.6,0.1,0.03670186996459961,278.0
3.6,3.1,0.1,0.32772369384765626,284.0
3.6,3.6,0.1,0.05924148559570312,277.0
3.6,4.1,0.1,0.00698699951171875,286.0
3.6,4.6,0.1,0.16017961502075195,280.0
3.6,5.1,0.1,0.10811033248901367,287.6
3.6,5.6,0.1,0.08197956085205078,295.2
3.6,6.1,0.1,0.05765314102172851,275.4
3.6,6.6,0.1,0.08756895065307617,283.2
3.6,7.1,0.1,0.15957355499267578,278.4
3.6,7.6,0.1,0.10512490272521972,290.4
3.6,8.1,0.1,0.05385599136352539,283.6
3.6,8.6,0.1,0.07100973129272461,281.4
3.6,9.1,0.1,0.13783278465270996,285.0
3.6,9.6,0.1,0.08617510795593261,279.2
4.1,0.1,0.1,0.1511920928955078,288.8
4.1,0.6,0.1,0.08357019424438476,290.0
4.1,1.1,0.1,0.17374134063720703,292.8
4.1,1.6,0.1,0.129461669921875,283.6
4.1,2.1,0.1,0.08476848602294922,279.8
4.1,2.6,0.1,0.07300481796264649,278.6
4.1,3.1,0.1,0.11071057319641113,279.8
4.1,3.6,0.1,0.09315109252929688,285.8
4.1,4.1,0.1,0.15996599197387695,283.8
4.1,4.6,0.1,0.09017081260681152,283.8
4.1,5.1,0.1,0.08177051544189454,279.6
4.1,5.6,0.1,0.18331074714660645,288.4
4.1,6.1,0.1,0.0748075008392334,277.6
4.1,6.6,0.1,0.08477296829223632,278.6
4.1,7.1,0.1,0.03071141242980957,291.2
4.1,7.6,0.1,0.07141013145446777,273.8
4.1,8.1,0.1,0.09236664772033691,279.2
4.1,8.6,0.1,0.13283777236938477,266.6
4.1,9.1,0.1,0.06022701263427734,280.6
4.1,9.6,0.1,0.1821131706237793,283.4
4.6,0.1,0.1,0.07061901092529296,288.0
4.6,0.6,0.1,0.2746582984924316,286.2
4.6,1.1,0.1,0.19368195533752441,293.8
4.6,1.6,0.1,0.08217782974243164,284.6
4.6,2.1,0.1,0.15079727172851562,291.0
4.6,2.6,0.1,0.10471987724304199,292.6
4.6,3.1,0.1,0.17174043655395507,294.4
4.6,3.6,0.1,0.08458118438720703,294.4
4.6,4.1,0.1,0.1609626293182373,278.8
4.6,4.6,0.1,0.257511568069458,293.4
4.6,5.1,0.1,0.05824398994445801,291.0
4.6,5.6,0.1,0.07819743156433105,282.2
4.6,6.1,0.1,0.13763175010681153,287.4
4.6,6.6,0.1,0.25950016975402834,294.8
4.6,7.1,0.1,0.186309814453125,290.6
4.6,7.6,0.1,0.10351548194885254,288.0
4.6,8.1,0.1,0.1569814682006836,281.8
4.6,8.6,0.1,0.0853754997253418,277.8
4.6,9.1,0.1,0.06303753852844238,288.8
4.6,9.6,0.1,0.05125694274902344,280.0
5.1,0.1,0.1,0.06443271636962891,290.0
5.1,0.6,0.1,0.20127148628234864,295.8
5.1,1.1,0.1,0.09833674430847168,286.4
5.1,1.6,0.1,0.19847569465637208,290.2
5.1,2.1,0.1,0.2708614349365234,280.0
5.1,2.6,0.1,0.12367758750915528,282.8
5.1,3.1,0.1,0.3067785739898682,288.6
5.1,3.6,0.1,0.3799905300140381,289.8
5.1,4.1,0.1,0.18629517555236816,286.8
5.1,4.6,0.1,0.45299711227416994,332.0
5.1,5.1,0.1,0.24688596725463868,287.0
5.1,5.6,0.1,0.0869725227355957,283.4
5.1,6.1,0.1,0.1793206214904785,286.2
5.1,6.6,0.1,0.5580039024353027,315.8
5.1,7.1,0.1,0.23208093643188477,290.8
5.1,7.6,0.1,0.17126660346984862,283.2
5.1,8.1,0.1,0.09734082221984863,287.4
5.1,8.6,0.1,0.12137212753295898,293.6
5.1,9.1,0.1,0.17496581077575685,286.6
5.1,9.6,0.1,0.21847939491271973,280.8
5.6,0.1,0.1,0.09869647026062012,290.6
5.6,0.6,0.1,0.33471083641052246,291.6
5.6,1.1,0.1,0.21828336715698243,284.8
5.6,1.6,0.1,0.0912503719329834,291.4
5.6,2.1,0.1,0.1260085105895996,293.8
5.6,2.6,0.1,0.08110389709472657,279.2
5.6,3.1,0.1,0.17114825248718263,288.6
5.6,3.6,0.1,0.20817527770996094,292.8
5.6,4.1,0.1,0.10831665992736816,280.0
5.6,4.6,0.1,0.19443368911743164,287.8
5.6,5.1,0.1,0.12838397026062012,291.6
5.6,5.6,0.1,0.5140764713287354,306.4
5.6,6.1,0.1,0.44836626052856443,316.6
5.6,6.6,0.1,0.4573460578918457,319.2
5.6,7.1,0.1,0.5079810142517089,323.0
5.6,7.6,0.1,0.7239090919494628,312.8
5.6,8.1,0.1,0.4024055004119873,272.4
5.6,8.6,0.1,0.5526751518249512,323.4
5.6,9.1,0.1,0.20286240577697753,290.6
5.6,9.6,0.1,0.15828895568847656,291.6
6.1,0.1,0.1,0.20674524307250977,286.6
6.1,0.6,0.1,0.45479207038879393,283.6
6.1,1.1,0.1,0.31958918571472167,291.6
6.1,1.6,0.1,0.2549458026885986,285.0
6.1,2.1,0.1,0.305451774597168,287.6
6.1,2.6,0.1,0.1628729820251465,290.2
6.1,3.1,0.1,0.1640063762664795,286.2
6.1,3.6,0.1,0.5027775287628173,291.0
6.1,4.1,0.1,0.5369994163513183,294.0
6.1,4.6,0.1,0.678423547744751,292.6
6.1,5.1,0.1,0.546040391921997,340.4
6.1,5.6,0.1,0.091668701171875,293.4
6.1,6.1,0.1,0.04212784767150879,287.0
6.1,6.6,0.1,0.912333345413208,388.4
6.1,7.1,0.1,0.388973331451416,278.0
6.1,7.6,0.1,1.241434669494629,415.0
6.1,8.1,0.1,0.05096578598022461,286.8
6.1,8.6,0.1,1.20844464302063,351.6
6.1,9.1,0.1,0.7708789825439453,292.2
6.1,9.6,0.1,0.6060169219970704,277.6
6.6,0.1,0.1,0.15733985900878905,293.6
6.6,0.6,0.1,0.44069852828979494,293.6
6.6,1.1,0.1,0.32027311325073243,292.6
6.6,1.6,0.1,0.41088228225708007,293.6
6.6,2.1,0.1,0.44653806686401365,285.4
6.6,2.6,0.1,0.34510293006896975,289.8
6.6,3.1,0.1,0.4031209468841553,288.2
6.6,3.6,0.1,0.5365837097167969,283.0
6.6,4.1,0.1,0.7577647686004638,291.2
6.6,4.6,0.1,0.3594354629516602,287.6
6.6,5.1,0.1,0.3757800102233887,291.8
6.6,5.6,0.1,0.7045680522918701,331.6
6.6,6.1,0.1,0.15290002822875975,286.6
6.6,6.6,0.1,0.3943638324737549,278.2
6.6,7.1,0.1,0.6197096824645996,330.6
6.6,7.6,0.1,0.44167189598083495,315.0
6.6,8.1,0.1,0.032512331008911134,284.2
6.6,8.6,0.1,0.7823070526123047,315.6
6.6,9.1,0.1,1.1185521125793456,362.4
6.6,9.6,0.1,0.9909393787384033,358.0
7.1,0.1,0.1,0.15155386924743652,276.4
7.1,0.6,0.1,0.319578742980957,287.0
7.1,1.1,0.1,0.35815091133117677,292.4
7.1,1.6,0.1,0.7170295238494873,281.8
7.1,2.1,0.1,0.7762511730194092,288.8
7.1,2.6,0.1,0.6637818336486816,281.6
7.1,3.1,0.1,0.3771970272064209,288.2
7.1,3.6,0.1,0.42575840950012206,289.8
7.1,4.1,0.1,0.7937562942504883,290.4
7.1,4.6,0.1,0.681521224975586,317.0
7.1,5.1,0.1,0.7343235015869141,319.0
7.1,5.6,0.1,0.323714017868042,293.6
7.1,6.1,0.1,0.3884450435638428,284.6
7.1,6.6,0.1,0.4354057788848877,290.0
7.1,7.1,0.1,0.4012864589691162,294.4
7.1,7.6,0.1,0.6605734825134277,323.8
7.1,8.1,0.1,0.7619577884674072,300.8
7.1,8.6,0.1,0.4644033908843994,343.0
7.1,9.1,0.1,1.0752222061157226,371.6
7.1,9.6,0.1,1.2119666576385497,397.6
7.6,0.1,0.1,0.8260446548461914,294.4
7.6,0.6,0.1,0.33740959167480467,291.4
7.6,1.1,0.1,0.3901678562164307,295.6
7.6,1.6,0.1,0.7826825618743897,293.8
7.6,2.1,0.1,0.78623046875,291.6
7.6,2.6,0.1,0.6129438877105713,289.8
7.6,3.1,0.1,1.6221446990966797,391.4
7.6,3.6,0.1,0.5869481086730957,312.0
7.6,4.1,0.1,0.6117683410644531,291.8
7.6,4.6,0.1,0.3855732917785645,292.2
7.6,5.1,0.1,0.8263817310333252,322.4
7.6,5.6,0.1,0.63076810836792,308.6
7.6,6.1,0.1,0.44117064476013185,319.2
7.6,6.6,0.1,0.812816572189331,323.0
7.6,7.1,0.1,0.6997366428375245,310.2
7.6,7.6,0.1,0.6317524433135986,322.4
7.6,8.1,0.1,0.5560603618621827,321.8
7.6,8.6,0.1,0.8626912593841553,315.8
7.6,9.1,0.1,1.2270369052886962,436.6
7.6,9.6,0.1,0.1926241397857666,276.8
8.1,0.1,0.1,0.5656051635742188,284.8
8.1,0.6,0.1,0.3109312057495117,284.0
8.1,1.1,0.1,0.5460010051727295,311.0
8.1,1.6,0.1,0.6742053985595703,287.8
8.1,2.1,0.1,0.6471336364746094,285.2
8.1,2.6,0.1,0.5056843280792236,283.0
8.1,3.1,0.1,0.5901714324951172,280.0
8.1,3.6,0.1,0.7297859191894531,276.4
8.1,4.1,0.1,0.5588157653808594,310.8
8.1,4.6,0.1,0.5281654357910156,291.6
8.1,5.1,0.1,0.6925204277038575,322.6
8.1,5.6,0.1,0.687208604812622,310.0
8.1,6.1,0.1,1.1211121559143067,376.0
8.1,6.6,0.1,0.9512059211730957,297.8
8.1,7.1,0.1,0.7556113243103028,284.6
8.1,7.6,0.1,0.8686337471008301,335.8
8.1,8.1,0.1,0.6630404949188232,291.6
8.1,8.6,0.1,0.31010780334472654,286.8
8.1,9.1,0.1,0.5723779678344727,331.8
8.1,9.6,0.1,1.6509097576141358,445.6
8.6,0.1,0.1,0.9045699596405029,312.2
8.6,0.6,0.1,0.8893852710723877,313.0
8.6,1.1,0.1,0.5990094184875489,306.4
8.6,1.6,0.1,1.380935287475586,311.6
8.6,2.1,0.1,1.4127653598785401,312.0
8.6,2.6,0.1,1.1268141269683838,321.0
8.6,3.1,0.1,0.614089822769165,289.8
8.6,3.6,0.1,0.7728701591491699,321.0
8.6,4.1,0.1,1.0027758121490478,363.8
8.6,4.6,0.1,1.1698211193084718,337.2
8.6,5.1,0.1,0.7477253437042236,312.0
8.6,5.6,0.1,0.8910789012908935,312.8
8.6,6.1,0.1,0.9445369243621826,292.0
8.6,6.6,0.1,0.9386160373687744,323.4
8.6,7.1,0.1,1.3552985668182373,377.4
8.6,7.6,0.1,1.0742321968078614,313.6
8.6,8.1,0.1,1.3131742477416992,357.2
8.6,8.6,0.1,1.2853408813476563,346.2
8.6,9.1,0.1,0.17426662445068358,283.2
8.6,9.6,0.1,0.7367176055908203,324.4
9.1,0.1,0.1,1.1222956657409668,293.6
9.1,0.6,0.1,0.7959980487823486,325.0
9.1,1.1,0.1,1.2605137825012207,291.4
9.1,1.6,0.1,0.8168141841888428,289.4
9.1,2.1,0.1,1.6652503967285157,375.4
9.1,2.6,0.1,1.082513189315796,311.2
9.1,3.1,0.1,1.2828247547149658,326.6
9.1,3.6,0.1,1.6644646644592285,370.2
9.1,4.1,0.1,1.1073681831359863,306.8
9.1,4.6,0.1,1.389835739135742,376.4
9.1,5.1,0.1,0.8391182899475098,308.4
9.1,5.6,0.1,1.2841257572174072,356.4
9.1,6.1,0.1,0.5794431209564209,292.0
9.1,6.6,0.1,1.7109330654144288,349.2
9.1,7.1,0.1,0.814104413986206,317.8
9.1,7.6,0.1,0.8705280780792236,319.2
9.1,8.1,0.1,1.278244400024414,341.8
9.1,8.6,0.1,2.0017035484313963,387.4
9.1,9.1,0.1,1.1094157695770264,334.8
9.1,9.6,0.1,0.5988641738891601,306.6
9.6,0.1,0.1,0.9266120910644531,291.6
